<id>	<title>	<RealName>	<CurrentAlias>	<Affiliation>	<Relatives>	<Universe>	<Gender>	<Height>	<Weight>	<Eyes>	<Hair>	<Citizenship>	<Quotation>
1036	Agatha Harkness (Earth-616)	Agatha Harkness	NA	Formerly [[Witches of New Salem|The Witches of New Salem]]; {{m|Department of the Uncanny (Earth-616)|The Department of the Uncanny}}	[[Nicholas Scratch (Earth-616)|Nicholas Scratch]] (son), [[Brutacus]], [[Hydron]], [[Thornn (Salem's Seven)|Thornn]], [[Vakume]] (grandsons), [[Gazelle]], [[Reptilla]], [[Vertigo (Salem's Seven)|Vertigo]] (granddaughters), [[Abigail Harkness (Earth-616) |Abigail Harkness]] (likely relative) (deceased)	Earth-616	Female	5'11&quot;	130 lbs 	Blue	White	American	Calm yourself Mr. Grimm-- [[Ebony (Earth-616)|Ebony]] was just being affectionate.	
1037	Agent Axis (Earth-616)	Combined bodies of [[Hiroyuki Kanegawa]], [[Aldo Malvagio]] and [[Berthold Volker]] 	Agent Axis	{{m|Axis Mundi (Earth-616)|Axis Mundi}}, {{m|Operation Paperclip (Earth-616)|Operation Paperclip}}	NA	Earth-616	Male	NA	NA	NA	White	| Citizenship3            = Italian	NA	
1038	Cynthia Glass (Earth-616)	Cynthia &quot;Cindy&quot; Glass	[[Agent X]]	Formerly {{m|Project Rebirth}}, {{m|United States Army}}, {{m|National Socialist German Workers Party (Earth-616)|Nazis}}	NA	Earth-616	Female	NA	NA	Blue	Brown	American	NA	
1039	Christoph Nord (Earth-616)	Christoph Nord	[[Maverick]]	Formerly {{m|Weapon X (Earth-616)|Weapon X Program}}, {{m|Central Intelligence Agency (Earth-616)|C.I.A.}}'s {{m|Team X}}, {{m|Cell Six (Earth-616)|Cell Six}}; former ally of the [[X-Men (Earth-616)|X-Men]]; former bodyguard for [[Aldo Ferro (Earth-616)|Aldo Ferro]];{{r|Wolverine Vol 2 62}} former agent of [[Arthur Barrington (Earth-616)|Arthur Barrington]]	Unidentified parents (deceased), Andreas Nord (brother, deceased), [[Ginetta Barsalini (Earth-616)|Ginetta Lucia Barsalini]] (wife, deceased), unnamed child (deceased)	Earth-616	Male	6'3&quot;	230 lbs.	Blue	Black	German	NA	
1040	Aginar (Earth-616)	Aginar	Aginar	[[Eternals (Race)|Eternals]] of Earth	NA	Earth-616	Male	6'0&quot;	255 lbs	Grey	Black	Polaria	NA	
1041	Agon (Earth-616)	[[Agon]]	[[King Agon]]	{{m|House of Agon|Inhuman Royal Family}}, {{m|Genetic Council|Inhumans Genetics Council}}	[[Symak (Earth-616)|Symak]] (father);&lt;br&gt; 	Earth-616	Male	NA	NA	Blue	Black	Attilan	NA	
1042	Agron (Earth-76216)	Agron	NA	NA	NA	Earth-76216	Male	6'3&quot;	200 lbs	Yellow	None	NA	NA	
1043	Alejandro Montoya (Earth-616)	Alejandro Montoya	Águila	Penance Corps	David (father), Rosario (mother),	Earth-616	Male	6'0&quot;	190 lbs	Brown	Black	Spanish	NA	
1047	Gabriel Lan (Earth-616)	Gabriel Lan	Air-Walker	Former member of {{M|Nova Corps (Earth-616)|Nova Corps}}, {{M|Heralds of Galactus (Earth-616)|Heralds of Galactus}}	NA	Earth-616	Male	6'2&quot;	240 lbs	Black	Black	Xandarian	NA	
1048	Air-Walker (Automaton) (Earth-616)	Air-Walker	NA	{{M|Heralds of Galactus}}	NA	Earth-616	Male	6'2&quot;	650 lbs	Black	None	Xandarian	NA	
1050	Ajak (Earth-616)	Ajak	NA	[[Polaria]]n [[Eternals (Race)|Eternals]]; formerly {{M|God Squad}}	[[Rakar (Earth-616)|Rakar]] (father);&lt;br&gt;	Earth-616	Male	6'1&quot;	220 lbs	Grey 	Black	Polaria	NA	
1052	Thomas Jones (Earth-616)	Thomas Jones	Alchemy	Formerly {{M|X-Men (Earth-616)|X-Men}}, ally of [[David Haller (Earth-616)|David Haller]], {{M|198}}{{r|Heroic Age: X-Men #1}}	[[Ophelia Jones (Earth-616)|Ophelia Jones]] (mother),&lt;br&gt;unidentified father (deceased),&lt;br&gt;[[Ellie Jones (Earth-616)|Ellie Jones]] (sister)	Earth-616	Male	5'11&quot;	140 lbs	Brown	Brown	British	NA	
1053	Starhawk	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
1054	Allatou (Earth-616)	[[Allatou]]	NA	[[Marduk Kurios (Earth-616)|Satan]]	[[Nergal (Earth-616)|Nergal]] (husband)[[Category:Nergal Family]]	Earth-616	Female	NA	NA	Red	Green	NA	NA	
1055	Alpha	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
1056	Alpha (Mutant) (Earth-616)	Alpha	Alpha the Ultimate Mutant	formerly {{M|Brotherhood of Evil Mutants (Earth-616)|}}{{r|All-New Official Handbook of the Marvel Universe Vol 1 1}}{{r|Defenders Vol 1 16}}	[[Max Eisenhardt (Earth-616)|Magneto]] (creator){{r|All-New Official Handbook of the Marvel Universe Vol 1 1}}{{r|Defenders Vol 1 15}}&lt;!--I don't think I should include all of Magneto's relatives here (Quicksilver and Scarlet Witch, siblings?), but AN Handbook specifically lists Magneto under relatives--&gt;	Earth-616	| Gender2                 = {{r|All-New Official Handbook of the Marvel Universe Vol 1 1}}	9'	240 lbs.	Yellow	Bald	Not applicable	No, [[Stephen Strange (Earth-616)|Doctor--]] Don't turn '''away''' or you may deny yourself the chance to see a '''miracle! Turn,''' my friends-- '''Look''' at him! '''Behold''' the creature who soon will make me '''Master of the World!!'''	
1057	Marlene Alraune (Earth-616)	[[Marlene Alraune]]	NA	[[Marc Spector (Earth-616)|Mr. Knight]]; formerly {{m|Slayers Elite}}	[[Peter Alraune (Earth-616)|Peter Alraune]] (father, deceased){{r|Moon Knight Vol 1 1}}&lt;br&gt;[[Peter Alraune, Jr. (Earth-616)|Peter Alraune Jr.]] (brother,{{r|Moon Knight Vol 1 12}} deceased){{r|Moon Knight Vol 1 23}}&lt;br&gt;Eric{{r|Moon Knight Vol 2 3}} Jules Fontaine (ex-husband){{r|Moon Knight Vol 2 2}}&lt;br&gt;[[Diatrice (Marlene's Daughter) (Earth-616)|Diatrice]] (daughter)	Earth-616	Female	5'8&quot;	130 lbs	Blue	Blonde	American	NA	
1058	Amaa (Earth-616)	Amaa	NA	NA	[[Rakar (Earth-616)|Rakar]] (husband), [[Arex (Earth-616)|Arex]] (son), [[Ajak (Earth-616)|Ajak]] (son)	Earth-616	Female	NA	NA	NA	NA	Polaria	NA	
1060	Ambur (Earth-616)	Ambur	NA	{{m|House of Agon|Inhuman Royal Family}}	[[Kobar (Earth-616)|Kobar]], [[La (Earth-616)|La]] (parents);&lt;br&gt;	Earth-616	Female	NA	NA	Blue	Red	Attilan	NA	
1061	Jason Strongbow (Earth-616)	Jason Strongbow	American Eagle	{{M|Navajo Nation}}, {{m|Navajo Nation Division of Public Safety|Division of Public Safety}};{{r|Heroic Age: Heroes #1}}{{r|Official Handbook of the Marvel Universe A-Z Update #2}}&lt;br&gt;formerly [[Oliver Osnick (Earth-616)|Steel Spider]] and [[Jillian Woods (Earth-616)|Sepulchre]]	[[Ward Strongbow (Earth-616)|Ward Strongbow]] (brother, deceased)	Earth-616	Male	6'0&quot; 	200 lbs 	Brown	Black	USA	So let's see what [[Bullseye (Lester) (Earth-616)|you've]] got. You might do okay with those New York City boys. But you and me are in Phoenix, Arizona. So you take a swing at a real American and see what happens.	
1062	Lyle Dekker (Earth-616)	Lyle Dekker	Ameridroid	Red Skull; Nazi Party; Nihilist Order	NA	Earth-616	Male	12'0&quot;	1320 lbs	Blue	Blond	German	NA	
1063	Ammo (Earth-616)	Unknown	Ammo	{{m|Munition Militia}}; former leader of the [[Wildboys]]	NA	616	Male	6'2	225 lbs.	Brown	White	NA	NA	
1064	Kingsley Rice (Earth-712)	[[Kingsley Rice]]	Amphibian 	{{m|Squadron Supreme (Earth-712)|Squadron Supreme}}	Unidentified mother	Earth-712 	Male 	6'0&quot;	180 lbs 	Blue 	Red 	| Citizenship             =	NA	
1065	Amphibius (Earth-616)	NA	Amphibius	{{m|Savage Land Mutates}}, formerly {{m|Swamp Men (Earth-616)|Swamp Men}}	NA	Earth-616	Male	6' 0&quot;	145 lbs	Yellow	No hair	Savage Lander	NA	
1066	Blanche Sitznski (Earth-616)	[[Blanche Sitznski]]	[[Anaconda]]	{{M|Serpent Society|Serpent Solutions}}, {{M|Army of Evil (Earth-616)|Army of Evil}}; formerly {{M|Serpent Squad (Roxxon Oil)|Serpent Squad}} - {{M|Roxxon Energy Corporation (Earth-616)|Roxxon}}, {{M|Femizons}}, {{M|Six Pack}}, {{M|Legion Accursed (Earth-616)|Legion Accursed}}, [[Doom Maidens (Midgard) (Earth-616)|Doom Maidens]]	NA	Earth-616	Female	6'2&quot; 	222 lbs	Green	Blonde	American	Come let mamma give you a big hug!	
1067	Tike Alicar (Earth-616)	Tike Alicar 	Anarchist	formerly {{M|X-Statix (Earth-616)|X-Statix/X-Force}} 	NA	Earth-616	Male	6' 3&quot;	225 lbs 	Brown	Black	American	NA	
1068	Yao (Earth-616)	Yao	Ancient One	Teacher of [[Stephen Strange (Earth-616)|Doctor Strange]], [[Karl Mordo (Earth-616)|Baron Mordo]]; one time ally of the [[Matthew Masters (Earth-616)|Black Rider]]; an unnamed order of sorcerers whose elder members are known as the Ancient Ones.	NA	Earth-616	Male	5'11	160 lbs	Brown	Bald	Tibetan	| Quotation           = [[Stephen Strange (Earth-616)|My loyal disciple]] cannot battle [[Karl Mordo (Earth-616)|Mordo]] and [[Dormammu (Earth-616)|Mordo's new ally]] alone! He needs help -- [[Eternity (Earth-616)|Eternity]]! Eternity!	
1069	Andromeda Attumasen (Earth-616)	Andromeda Attumasen	NA	Formerly {{M|Defenders}}, {{M|Deep Six (Namor)}}, {{m|Brides of Set}}	[[Attuma (Earth-616)|Attuma]] (father); [[Gelva (Earth-616)|Gelva]] (mother)	Earth-616	Female	5'8&quot;	180 lbs 	Green 	Auburn 	Atlantean	NA	
1070	David Angar (Earth-616)	David Alan Angar	Angar the Screamer	Formerly {{m|Redeemers}}, {{m|Assault and Battery}}, {{m|Roxxon Energy Corporation (Earth-616)|Roxxon}} [[Melissa Gold (Earth-616)|Screaming Mimi]] (allies), [[Khan (Earth-616)|Master Khan]] (employer), [[Kerwin Broderick (Earth-616)|Kerwin J. Broderick]] (employer)	NA	Earth-616	Male	5'10&quot;	155 lbs.	Brown	Brown	American	Madness?!  I am not mad!  I am David Angar -- I am sane!	
1071	Thomas Halloway (Earth-616)	Thomas Halloway	[[Angel]]	The Penance Council (associated with the {{M|V-Battalion}}), {{M|Scourge of the Underworld (Earth-616)|Scourge of the Underworld}}; formerly the {{m|All-Winners Squad (Earth-616)|All-Winners Squad}}.	[[Simon Halloway (Earth-616)|Simon Halloway]] (brother, also active as the Angel in the 1940s, deceased);&lt;br&gt; [[Jason Halloway (Earth-616)|Jason Halloway]] (grandson)&lt;ref&gt;[[Comics:Marvels Project Vol 1 8|Marvels Project #8]]&lt;/ref&gt;;&lt;br&gt;[[Hadrian Harmon (Earth-616)|Hadrian Harmon]] (ancestor; deceased)	Earth-616	Male 	6'3&quot;	209 lbs	Brown	White	American	But down in those waters, I saw New York's &lt;b&gt;hero community&lt;/b&gt; witnessing its first &lt;b&gt;true&lt;/b&gt; call to arms. There were heroes I'd met, and some I never saw before or again. I know most of us felt &lt;b&gt;tiny&lt;/b&gt; in comparison to the devastation around us...but we did what we &lt;b&gt;could&lt;/b&gt;. ... This was our first true call to arms. So there was no way Namor could have won the day...regardless of the destruction he'd wrought. And the strangest part of all...was that this day of great tragedy would be the first step...to &lt;b&gt;another&lt;/b&gt; new dawn.	
1072	Simon Halloway (Earth-616)	Simon Halloway	Angel	NA	[[Hadrian Harmon (Earth-616)|Hadrian Harmon]] (ancestor; deceased);&lt;br&gt;[[Thomas Halloway (Earth-616)|Tom Halloway]] (half-brother);&lt;br&gt;[[Jason Halloway (Earth-616)|Jason Halloway]] (grandnephew)	Earth-616	Male	NA	NA	NA	NA	NA	NA	
1073	Warren Worthington III (Earth-616)	Warren Kenneth Worthington III	| CurrentAlias            =	{{M|Sleepers (Earth-616)|Sleepers}},{{M|X-Men (Earth-616)|X-Men (Gold Team)}} (founding member); formerly {{M|X-Men (Magneto's) (Earth-616)|Magneto's X-Men}}, [[Worthington Industries (Earth-616)|Worthington Industries]], [[Xavier Institute student body#Jean Grey School students|Jean Grey School student body]], [[Scott Summers (Earth-616)|Cyclops]]' &amp; [[James Howlett (Earth-616)|Wolverine]]'s {{M|X-Force (Strike Team)|X-Force}} (co-leader with Wolverine), {{M|Clan Akkaba}}, {{M|Mutantes Sans Frontières}}, {{M|Hellfire Club}}, {{M|X-Club}} (founding member), Death's Champions, {{M|Secret Defenders}}, {{M|Renegades (Hulk Allies) (Earth-616)|Renegades}}, {{M|X-Factor |X-Factor/X-Terminators}} (founding member), {{M|Horsemen of Apocalypse}}, {{M|Defenders}}, {{M|Champions of Los Angeles}} (founder)	[[Wallace Worthington (Earth-616)|Wallace Worthington]] (paternal ancestor, deceased);&lt;br&gt; 	Earth-616	Male	6'0&quot;	150 lbs	Blue	Blond	American	Savior... killer... harbinger of hope or destruction. I am unsure who-- or what-- I am. But I'd like to find out. 	
1074	Angel Salvadore (Earth-616)	[[Angel Salvadore|Angel Salvadore Bohusk]]	Angel Salvadore	{{M|Teen Brigade}}; formerly {{M|New Warriors}}; {{M|Exemplars Squad}}; {{M|Special Class}}; [[Xavier Institute student body]]	NA	Earth-616	Female	5'4&quot;	121 lbs 	Brown	Black	American 	| Quotation           = I'm '''pregnant'''. They'll throw us out of school unless we do something fast, Barnell. 	
1075	Frederick Animus (Earth-616)	Dr. Frederick Animus	Ani-Mator	Creator of the [[Ani-Mates]] and the [[Virusplague]], employee of the {{m|Right (Earth-616)|Right}}	[[Virusplague (Earth-616)|Virusplague]] (Virus filled with his genetic settings)	Earth-616	Male	5'6	127 lbs.	Blue	Bald	American	NA	
1078	Annihilus (Earth-616)	Annihilus	| CurrentAlias            =	{{m|Annihilation Wave}}, {{m|Galactic Council}}	Annihilus is a unique entity.	Earth-616	Male	5'11&quot;	200 lbs	Green	None	Arthrosian	I am Annihilus... '''Lord of the Negative Zone! Annihilus the Living Death that walks!'''	
1080	Scott Lang (Earth-616)	[[Scott Edward Harris Lang]]	[[Ant-Man]]	Formerly {{m|Guardians of the Galaxy}}, {{m|Nova Corps}}, partner of [[Cassandra Lang (Earth-616)|Stinger]], {{M|Underground (Secret Empire)|Underground}}, {{m|Ant-Man Security Solutions}}, {{m|Future Foundation}} (leader), {{m|Fantastic Four}} (leader), {{m|Avengers}}, {{m|Heroes for Hire (Oracle Inc.) (Earth-616)|Heroes For Hire}}, {{m|Stark Industries}}, {{m|Electrolang, Inc.}}	[[Cassandra Lang (Earth-616)|Cassandra Eleanor Lang]] (daughter);&lt;br&gt;	Earth-616	Male	6'0&quot;	190 lbs	Blue	Strawberry Blond	American	...Yeah, well I beat up [[Victor von Doom (Earth-616)|Doctor Doom]] once!	
1081	John Anvil (Earth-616)	John Anvil	Anvil	partner of [[Leroy Jackson (Earth-616)|Hammer]], {{m|Deterrence Research Corporation (Earth-616)|Deterrence Research Corporation}}	NA	Earth-616	Male	6' 2&quot;	215 lbs 	Blue	Blond	American	NA	
1084	En Sabah Nur (Earth-616)	En Sabah Nur	[[Apocalypse]]	Formerly {{M|Clan Akkaba}} (founder and leader), {{M|Horsemen of Apocalypse|Apocalypse's Horsemen}} (founder and leader), {{M|Dark Riders}} (founder and leader), {{M|Alliance of Evil}} (founder and leader), {{M|Sandstormers}}, {{m|Brotherhood of the Shield}} (founding member)	[[Baal (Sandstormers) (Earth-616)|Baal]] (adoptive father, deceased);&lt;br&gt;	Earth-616	Male	7'0&quot;	725 lbs	Red	Black	Egyptian	Peace does nothing to test -- to INCREASE -- mutants' strength. To force them to evolve into the strong.	
1085	Wundarr (Earth-616)	Wundarr	Aquarian	{{M|Command (Earth-616)}} ([[Florida]] {{M|50-State Initiative (Earth-616)|Initiative}})	[[Hektu]] (father), [[Soja]] (mother)	Earth-616	Male	5'10	165 lbs.	Brown	Brown	Dakkamite	NA	
1086	Darren Bentley (Earth-616)	Darren Bentley	[[Zodiac|One-Man Zodiac]]	Formerly {{m|Zodiac Cartel (Earth-616)|Zodiac}}	NA	Earth-616	Male	NA	NA	Blue	Red	American	NA	
1087	Zachary Drebb (Earth-616)	Zachary Drebb	Aquarius 	{{m|Zodiac Cartel (Earth-616)|Zodiac}}	NA	Earth-616	Male	6'	185lbs	Brown	Auburn	NA	NA	
1089	Arabian Knight	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
1090	Aragorn (Earth-616)	Aragorn 	NA	{{m|Defenders}}	NA	Earth-616	Male	5'5&quot;	1050 lbs	Brown	White	NA	NA	
1091	Arcade (Earth-616)	Unrevealed	Arcade	Independent assassin-for-hire, whose associations are commonly with those he is hired to kill, lackeys include [[Miss Locke (Earth-616)|Miss Locke]] (deceased), {{m|Terrible Two}}, [[Lorina Dodson (Earth-616)|White Rabbit]], [[Miss Coriander (Earth-616)|Miss Coriander]] and [[Mister Chambers (Earth-616)|Mister Chambers]].	Unnamed father (deceased)	Earth-616	Male	5'6&quot;	140 lbs	Blue	Red	American	I promise... I've given up games of murder. I'm done with death traps. Okay... maybe a tiny little death trap.	
1092	Arcanna Jones (Earth-712)	Arcanna Jones	Moonglow	{{m|Squadron Supreme (Earth-712)|Squadron Supreme}}	[[Phillip Jones (Earth-712)|Phillip Jones]] (husband), [[Katrina Jones (Earth-712)|Katrina]], and [[Drusilla Jones (Earth-712)|Drusilla]] (daughters), [[Andrew Jones (Earth-712)|Andrew]] and [[Benjamin Jones (Earth-712)|Benjamin Thomas]] (sons)	Earth-712	Female	5'8&quot;	130 lbs	Blue	Blonde	NA	NA	
1093	Archer (Earth-1191)	| RealName                =	[[Archer]]	{{m|Xavier's Underground Enforcers (Earth-1191)|X.U.E.}}; formerly {{m|Xavier Security Enforcers (Earth-1191)|X.S.E.}}	NA	Earth-1191	Male	| Height                  =	| Weight                  =	| Eyes                    =	No Hair	American	NA	
1094	Philippa Sontag (Earth-616)	Philippa Sontag	Arclight	{{M|Marauders}}, formerly {{M|198}}, {{M|Femizons}}	NA	Earth-616	Female	5'8&quot;	126 lbs	Violet	Black 	American	NA	
1095	Ares (Earth-616)	Ares	| CurrentAlias            =	{{m|Champions of Europe}}, Formerly {{m|Red Team (Earth-15513)|Red Team}}, {{M|Dark Avengers}}, {{m|Mighty Avengers (Initiative) (Earth-616)|Mighty Avengers}} ({{m|50-State Initiative|Initiative}}), [[Olympians|Olympic Pantheon]], {{M|Warhawks}}, [[Kingdom of England]], {{m|Fisk Construction}};{{r|Mighty Avengers #1}} [[Achilles (Earth-616)|Achilles]]; [[Illium|Troy]]	[[Gaea (Earth-616)|Gaea]] (great-grandmother);&lt;br&gt;	Earth-616	Male	6'1&quot;	500 lbs	Brown 	Brown 	Olympian	The chain of command. Rules of engagement. This Geneva Convention thing. Medical evac. Supply lines. The white flag. The Red Cross. Worrying about evacuees and refugees. Taking prisoners. Losing the battle but winning the war. Cursed diplomats. The proper standard of grooming. Sensible things like having enough bullets before you go into battle. That's the dung [[Athena Parthenos (Earth-616)|my sister]] cares about. I'm the other God of War. 	
1097	Ariel (Coconut Grove) (Earth-616)	Ariel	NA	Formerly {{M|X-Men (Earth-616)|X-Men}} (Jean Grey School member), {{M|Fallen Angels (Earth-616)|Fallen Angels}}	[[Ariel (Coconut Grove, Male) (Earth-616)|Ariel]] (unspecified relative{{r|Official Handbook of the Marvel Universe A-Z Update #3}}/ancestor, presumed deceased{{r|Official Handbook of the Marvel Universe Vol 3 #1}})	Earth-616	Female	5'5	130 lbs	Purple	Pink	Coconut Grove	NA	
1098	Marcus Lassiter (Earth-616)	Marcus Lassiter	Aries	{{M|Zodiac Cartel (Earth-616)|Zodiac}}	NA	Earth-616	Male	| Height                  =	| Weight                  =	| Eyes                    =	| Hair                    =	American	NA	
1099	Grover Raymond (Earth-616)	Grover Raymond	Aries	{{m|Zodiac Cartel (Earth-616)|Zodiac}}	NA	Earth-616	Male	6' 0&quot;	225lbs	Brown	Black	NA	NA	
1103	Arishem (Earth-616)	Arishem	NA	[[Celestials (Race)|Celestials]]	NA	Earth-616	Male	2000'0&quot;	22000000 lbs	No Eyes	No Hair	Celestial	NA	
1104	Arkon (Earth-616)	Arkon	Arkon the Magnificent	{{m|Swamp Queen Alliance}}	[[Thundra (Earth-715)|Thundra]] (former consort)	Earth-616	Male	6'0&quot;	400 lbs	Brown	Brown	Polemachian	NA	
1105	Arkus (Earth-616)	Arkus	NA	{{m|Atlantean Army}}, {{m|Atlantean Royal Family}}	[[Namor McKenzie (Earth-616)|Namor]], [[Byrrah (Earth-616)|Byrrah]], [[Seth (Atlantean) (Earth-616)|Seth]], [[Dara (Earth-616)|Dara]], [[Namorita Prentiss (Earth-616)|Namorita]] (first cousins once removed)	Earth-616	Male	NA	NA	NA	Black	Atlanteans	NA	
1106	Antonio Rodriguez (Earth-616)	Antonio Rodriguez	Armadillo	{{M|Hood's Gang (Earth-616)|Hood's criminal army}}; formerly {{M|Army of Evil (Earth-616)|Army of Evil}}, {{m|Hydra}}, {{m|Sinister Six (Earth-616)|Sinister Sixteen}}, {{m|MODOK's 11 (Earth-616)}}, {{M|Rangers}} ([[Texas (State)|Texas]] {{M|50-State Initiative (Earth-616)|Initiative}}), {{M|Villains Anonymous (Earth-616)|Vil-Anon}}, {{M|Unlimited Class Wrestling Federation}} and the Ultimate Fighting League, former minion of [[Karlin Malus (Earth-616)|Dr. Karl Malus]]	Maria Bonita Rodriguez (ex-wife)	Earth-616	Male	7'6&quot;	540 lbs 	Brown	No Hair	American	NA	
1107	Arnim Zola (Earth-616)	Arnim Zola 	NA	{{m|Hydra (Earth-616)|Hydra}}'s {{m|High Council of Hydra (Earth-616)|High Council}}; formerly {{m|National Socialist German Workers Party (Earth-616)|Nazi Germany}}, {{m|Rat Pack (Scavengers) (Earth-616)|Rat Pack}}	[[Leopold Zola (Earth-616)|Ian Zola]] (son);&lt;br&gt;	Earth-616	Male	5'10&quot;	200 lbs 	None	None	Swiss	Revenge is good. As good a fire to move forward as any. Remember those who stood on your fingers as you climbed the craggy cliffs. Remember their faces. Remember their families.	
1108	Arsenal (Robot) (Earth-616)	Arsenal	NA	Independent	NA	Earth-616	Male Programming	10'1&quot;	2000 lbs	Red	No hair	NA	NA	
1110	Cleo Nefertiti (Earth-616)	[[Cleo Nefertiti]]	Asp	{{M|Serpent Society|Serpent Solutions}};Formerly  {{M|Women Warriors}} ([[Delaware]] {{M|50-State Initiative (Earth-616)|Initiative}}), {{m|B.A.D. Girls, Inc. (Earth-616)|B.A.D. Girls, Inc.}}, {{M|Secret Avengers (Civil War) (Earth-616)|Secret Avengers}}, {{M|Femizons}},	NA	Earth-616	Female	5'9&quot; 	115 lbs	Brown	Black	Egyptian	NA	
1111	Jen Askani (Earth-4935)	Jen Askani &lt;ref&gt;[[Ultra X-Men (Trading Cards)|1994 Fleer Ultra X-Men trading cards.]]&lt;/ref&gt;	Askani	[[Clan Askani (Earth-4935)|Clan Askani]]	NA	Earth-4935	Female	NA	NA	NA	Red 	Nor-Am Pact region	NA	
