<id>	<title>	<Relatives>
1218	Jackie	[[James Lukus (Earth-616)|Jim Lukus]] (brother), unidentified sister-in-law
1220	Ulysses	[[Elise Bloodstone (Earth-616)|Elise Bloodstone]] (wife, deceased), [[Elsa Bloodstone (Earth-616)|Elsa Bloodstone]] (daughter), [[Cullen Bloodstone (Earth-616)|Cullen Bloodstone]] (son)
1221	Johann	[[Jacob Goldstein (Earth-616)|Golem]] (brother)
1222	Joseph	Anita Cartelli (mother), Frank Cartelli (father, deceased) 
1226	Frederick	unidentified parents, Unidentified wife, [[William Baker (Earth-616)|William Baker]] (cousin-in-law)
1229	Roger	[[Roger Bochs Jr. (Earth-616)|Roger Bochs Jr.]] (son)
1232	Madison	[[Lionel Jeffries (Earth-616)|Lionel Jeffries]] (brother, deceased);
1238	Bres	[[Elathan (Earth-616)|Elathan]] (father);[[Category:Elathan Family]]
1240	George	[[George Washington Bridge (Earth-616)#Sandy Bridge (Earth-616)|Sandy Bridge]] (wife, deceased), [[Tyler Bridge (Earth-616)|Tyler Bridge]] (step-son)
1241	Brona	[[Enrakt (Earth-616)|Enrakt]], [[Forsung (Earth-616)|Forsung]], and [[Magnir (Earth-616)|Magnir]] (brothers)
1243	Tode	[[Vira (Tode) (Earth-616)|Vira]] (wife, deceased);{{r|Official Handbook of the Marvel Universe Master Edition Vol 1 9|, Brother Tode's entry}} [[Ranar (Earth-616)|Ranar]] (son, deceased).{{r|Official Handbook of the Marvel Universe Master Edition Vol 1 9|, Brother Tode's entry}}{{r|Eternals Vol 2 2}}
1244	Jericho	[[Daniel Drumm (Earth-616)|Daniel Drumm]] (brother);[[Matilda Drumm (Earth-616)|Matilda Drumm]] (aunt);[[Collette Drumm (Earth-616)|Collette Drumm]] (niece)
1248	Brutacus	[[Agatha Harkness (Earth-616)|Agatha Harkness]] (grandmother), [[Nicholas Scratch (Earth-616)|Nicholas Scratch]] (father), [[Hydron (Salem's Seven) (Earth-616)|Hydron]] (half-brother), [[Thornn (Salem's Seven) (Earth-616)|Thornn]] (half-brother), [[Vakume (Earth-616)|Vakume]] (half brother), [[Gazelle (Scratch) (Earth-616)|Gazelle]] (half-sister), [[Reptilla (Earth-616)|Reptilla]] (half-sister), [[Vertigo (Salem's Seven) (Earth-616)|Vertigo]] (half sister)
1250	Brynocki	[[Simon Bretnor (Earth-616)|Mordillo (Simon Bretnor)]] (creator)
1252	Fred	Fred Davis, Sr (father, presumed deceased)
1254	Henry	[[Marci Camp (Earth-616)|Marci Camp]] (daughter)
1255	Buck	[[Lance Cashman (Earth-616)|Lance Cashman]] (son);Gloria (Lance's mother; may be Bullet's ex-wife or estranged wife)
1260	Quincy	[[John McIver (Earth-616)|John McIver]] (brother, deceased); [[Cruz McIver (Earth-616)|Cruz McIver]] (nephew, deceased)
1261	Carl	[[Marilyn Rogers (Earth-616)|Marilyn Rogers Burbank]] (ex-wife){{r|Daredevil Vol 1 #248}}, [[Troy Donahue (Earth-616)|Troy Donahue]] (ex-brother-in-law), unnamed ex-sister-in-law, unnamed niece{{r|Nomad Vol 2 #4}}
1265	Luke	[[James Lucas (Earth-616)|James Lucas]] (father);
1266	Cagliostro	Lubya (wife), [[Lorenza Serafina Feliciani (Earth-616)|Lorenza Feliciani]] (wife), [[Miarka (Earth-616)|Miarka]] (daughter), [[Taboo (Earth-616)|Taboo]] (son), Jackson Kubbard (son), Lilia Murgo (granddaughter), [[Algon (Earth-616)|Algon]] (grandson), [[Topaz (Earth-616)|Topaz]] (adoptive granddaughter), [[Lilia Calderu (Earth-616)|Lilia Calderu]] (great-granddaughter), [[Astrid Mordo (Earth-616)|Astrid Mordo]] (great-great granddaughter) 
1269	Calypso	Mambo Ezili (sister, decased)
1276	Samuel	Bonnie (maternal 1st cousin once removed);{{r|X-Force #83}}
1285	Brian	[[John Braddock (Earth-616)|John Braddock]] (ancestor, possibly grandfather);
1287	Genis-Vell	[[Mar-Vell (Earth-616)|Captain Marvel (Mar-Vell)]] (father, deceased);[[Elysius (Earth-616)|Elysius]] (mother);[[Phyla-Vell (Earth-616)|Phyla-Vell]] (sister, deceased);[[Theodore Altman (Earth-616)|Hulkling]] (half-brother);unidentified paternal grandparents (presumed deceased)
1289	Mar-Vell	[[Theodore Altman (Earth-616)|Hulkling]] (son);[[Genis-Vell (Earth-616)|Genis-Vell]] (son, deceased);[[Phyla-Vell (Earth-616)|Phyla-Vell]] (daughter, deceased);[[Minister Marvel (Earth-616)|Minister Marvel]] (nephew, deceased)
1290	Nathaniel	[[Filius Omen (Earth-616)|Filius]] (son, deceased)
1291	Griffin	Unnamed parents
1294	Elias	Unnamed Parents, [[Joshua Wirtham (Earth-616)|Joshua Wirtham]] (brother, deceased)
1299	Margaret	[[Harrison Carter (Earth-616)|Harrison Carter]] (brother, deceased), [[Amanda Carter (Earth-616)|Amanda Carter]] (sister-in-law, deceased), [[Sharon Carter (Earth-616)|Sharon Carter]] (niece)
1300	Sharon	[[Harrison Carter (Earth-616)|Harrison Carter]] (father);
1303	Sharon	Unnamed parents;unnamed cat (adoptive parent)
1304	Cecilia	[[Alejandro Reyes (Earth-616)|Alejandro Reyes]] (father, deceased);[[Maria Reyes (Earth-616)|Maria Reyes]] (mother, deceased);[[Miguel Reyes (Earth-616)|Miguel Reyes]] (brother)
1309	Cerberus	[[Typhon (Earth-616)|Typhon]], [[Echidna (Earth-616)|Echidna]] (parents);[[Lernean Hydra (Earth-616)|Lernean Hydra]], [[Nemean Lion (Earth-616)|Nemean Lion]], [[Ladon (Earth-616)|Ladon]], [[Orthrus (Earth-616)|Orthrus]], [[Teumessian Fox (Earth-616)|Teumessian Fox]], [[Chimaera (Earth-616)|Chimaera]] (siblings);unnamed offspring with [[Nox (Nyx) (Earth-616)|Nox]]
1310	Cerise	Subruki, Zarstok, Kuli Ka (genetic ancestors)
1311	Cethlann	[[Category:Cethlann Family]][[Balor (Earth-616)|Balor]] (husband){{r|Avengers #225}}[[Category:Balor Family]]
1314	Robert	[[William Hao (Earth-616)|William Hao]] (brother)
1315	Jonothon	[[En Sabah Nur (Earth-616)|Apocalypse]] (ancestor, deceased);{{r|New Excalibur #9}}
1316	Dmitri	Nikolai Kravinoff (father, deceased)Sonya Smerdyakova (mother, deceased)[[Sergei Kravinoff (Earth-616)|Sergei Kravinoff]] (half-brother);[[Vladimir Kravinoff (Earth-616)|Vladimir Kravinoff]] (nephew, deceased);[[Alexei Kravinoff (Earth-616)|Alyosha Kravinoff]] (nephew, deceased);[[Nedrocci Tannengarden (Earth-616)|Nedrocci Tannengarden]] (nephew, deceased);[[Ana Kravinoff (Earth-616)|Ana Kravinoff]] (niece);[[Aleksandra Nikolaevna (Earth-616)|Sasha Kravinoff]] (sister-in-law, deceased)
1317	Tryco	All the bipeds of the Thundrax, Baccan, and Velabian solar systems are his offsprings{{r|Official Handbook of the Marvel Universe Master Edition Vol 1 14}}
1319	Chance	Unnamed parents
1320	Changeling	None, orphan{{r|Official Handbook of the Marvel Universe A-Z #2}}
1321	Charles	[[Calvin Burlingame (Earth-616)|Calvin Burlingame]] (father)
1322	Charlie-27	Charlie-26  Mabel-17 (parents, deceased)
1324	Curtis	[[Calvin Carr (Earth-616)|Calvin Carr]] (Chemistro, brother)
1326	Calvin	[[Curtis Carr (Earth-616)|Curtis Carr]] (High-Tech, formerly Chemistro, brother)
1328	Chief	[[Durgan (Earth-616)|Durgan the Philosopher]] (creator){{r|Secret Wars: Official Guide to the Marvel Multiverse Vol 1 1}}
1332	Chthon	[[Demiurge (Earth-616)|Demiurge]] (father);
1334	William	[[Hans Knoblach (Earth-616)|Hans Knoblach]] (father, deceased);
1335	Clea	[[G'uran (Earth-616)|G'uran]], [[Oka'an (Earth-616)|Oka'an]] (paternal ancestors, deceased); [[Umar (Earth-616)|Umar]] (mother), [[Orini (Earth-616)|Orini]] (father), [[Dormammu (Earth-616)|Dormammu]] (uncle), [[Olnar (Earth-616)|Olnar]] (paternal grandfather, deceased), [[Sinifer (Earth-616)|Sinifer]] (maternal grandmother), [[Stephen Strange (Earth-616)|Doctor Stephen Strange]] (ex-husband), [[Victor Strange (Earth-616)|Victor Strange]] (brother-in-law, deceased), [[Sofia Strange (Earth-616)|Sofia Strange]] (daughter)
1336	Tyrone	Smokin' Joe (rumored grandfather);
1338	Eliot	Corky Franklin (father);
1340	Ralph	[[Theodore Roberts (Earth-616)|Ted Roberts]] (brother)
1342	Han,	Mary Tao-Yu (mother, deceased);
1343	Taneleer	[[Matani (Earth-616)|Matani]] (wife, deceased); [[Carina Tivan (Earth-616)|Carina]] (daughter)
1346	Piotr	Efim Rasputin (paternal great-great-grandfather, deceased);
1347	Harris	Helen (wife, deceased);{{r|Official Handbook of the Marvel Universe Vol 2 16|; [[Champions of Xandar (Earth-616)|Champions of Xandar]]'s entry }}{{r|Nova Vol 1 23}} [[Frank Moore (Earth-616)|Frank Moore]] (aka the Crimebuster, son, deceased);{{r|Nova Vol 1 24}} sister (name unrevealed, deceased){{r|Nova Vol 1 23}}
1348	Stephen	[[Ann Beckley (Earth-616)|Ann Beckley]] (wife, deceased), [[Benjamin Beckley (Earth-616)|Benny Beckley]] (son), Jack Beckley (father, deceased), unidentified mother (deceased), [[Jonathan Gallagher (Earth-616)|John Gallagher]] (Superior, brother, deceased), Rosemary Beckley (sister), Lou Metzer (former brother-in-law)
1352	Frank	Unnamed mother (deceased);
1354	Valentina	unnamed parents (deceased)
1355	Basil	[[Vincent Sandhurst (Earth-616)|Vincent Sandhurst]] (brother)
1356	Valerie	[[Edmond Atkinson (Earth-616)|Edmond Atkinson]] (ex-husband);Unnamed brother;{{r|X-Factor #71}} miscarriaged baby 
1358	Vanessa	[[Burt Carlysle (Earth-616)|Burt Carlysle]] (father, deceased);[[Dorothy Carlysle (Earth-616)|Dorothy Carlysle]] (mother)
1361	Christopher	[[Oscar Stamp (Earth-616)|Oscar Summers]] (adoptive paternal distant ancestor, deceased);
1363	Fabian	[[Anne-Marie Cortez (Earth-616)|Anne-Marie Cortez]] (sister, deceased)
1365	Luchino	[[Renata Nefaria (Earth-616)|Renata Nefaria]] (wife, deceased), [[Giuletta Nefaria (Earth-616)|Giulietta Nefaria]] (daughter), [[Lloyd Bloch (Earth-616)|Nefarius (Lloyd Bloch)]] (alleged son)
1368	Frank	[[Harris Moore (Earth-616)|Harris Moore]] (aka the Comet, father, deceased);{{r|Nova Vol 1 24}} Helen (mother, deceased);{{r|Official Handbook of the Marvel Universe Vol 2 16|; [[Champions of Xandar (Earth-616)|Champions of Xandar]]'s entry }}{{r|Nova Vol 1 23}} sister (name unrevealed, deceased){{r|Nova Vol 1 23}}
1370	René	[[Jacques Duquesne (Earth-616)|Jacques Duquesne]] (alleged descendant, [[Armand Duquesne (Earth-616)|Armand Duquesne]] (alleged relative, deceased), [[Georges Batroc (Earth-616)|Georges Batroc]] (possible descendant), [[Marie Batroc (Earth-616)|Marie Batroc]] (possible descendant)
1371	Anton	[[Arthur Vanko (Earth-616)|Arthur Vanko]] (nephew, deceased)
1376	Crule	&lt;!-- None{{r|X-Men: Earth's Mutant Heroes #1}} --&gt;
1377	Arthur	Unnamed wife; Jenny Blackwood (daughter)
1380	Crystalia	[[Ronan (Earth-616)|Ronan]] (husband,{{r|War of Kings #1}} separated{{r|FF #21}});
1381	Cybele	[[Zuras (Earth-616)|Zuras]] (husband);[[Azura (Earth-616)|Azura (Thena)]] (daughter);[[A'Lars (Earth-616)|A'Lars (Mentor)]] (brother-in-law);[[Eros (Earth-616)|Eros (Starfox)]] (nephew);[[Thanos (Earth-616)|Thanos]] (nephew) 
1382	Silas	Unnamed ex-wife
1386	Douglas	[[Philip Ramsey (Earth-616)|Philip Ramsey]] (father); 
1389	Tandy	[[Nathan Tyler (Earth-616)|Nathan Tyler (Lord of Light)]] (father);
1390	Dagoth	[[Category:Dagoth Family]][[Category:Dagon Family]]
1392	Damballah	[[Set (Earth-616)|Set]] (father);[[Category:Set Family]]
1397	Henry	[[Norton McCoy]] (father, deceased); 
1399	Christopher	[[Michael Powell (Earth-616)|Mike Powell]] (father);[[Grace Powell (Earth-616)|Grace Powell]] (mother);[[Jonathan Powell (Earth-616)|Jon]] and [[Jason Powell (Earth-616)|Jason Powell]] (brothers);[[Miranda Cruz (Earth-616)|Miranda Cruz]] (fiancée)
1400	Desmond	Unnamed wife (deceased), unnamed son 
1404	Alison	[[Bella Blaire (Earth-616)|Bella Blaire]] (paternal grandmother);
1405	Burtram	[[Wallace Worthington (Earth-616)|Wallace]] (ancestor, deceased);
1409	Wade	[[Thomas Wilson (Earth-616)|Thomas Wilson]] (father, deceased);{{r|Deadpool Corps: Rank and Foul #1}}
1411	Death	[[Yahweh (Earth-616)|God]] (alleged creator);
1412	Roland	Unidentified parents
1414	Phillip	[[Elizabeth Dawes (Earth-616)|Elizabeth Dawes Sterling]] (mother, deceased)
1415	Cal'syee	Emperor Neramani (father, deceased);
1422	Dennis	[[Ruth Dunphy (Earth-616)|Ruth "Rufus" Dunphy]] (sister); unnamed ex-brother-in-law
1424	Irene	[[Raven Darkholme (Earth-616)|Mystique]] (life partner);
1429	Roger	[[Brian Falsworth (Earth-616)|Brian Falsworth]] (lover, deceased)
1432	Eric	Cory Payne (wife, deceased)
1433	Jean	Earth-616 
1434	Esteban	Unnamed father (deceased)
1435	Rachel	[[Mrs. Leighton (Earth-616)|Mrs. Leighton]] (mother);
1436	Archibald	[[Erin Dyker (Earth-616)|Erin Dyker]] (wife)
1437	Lillian	[[Madison Jeffries (Earth-616)|Box (Madison Jeffries)]] (husband), [[Lionel Jeffries (Earth-616)|Lionel Jeffries]] (brother-in-law, deceased)
1443	Tim	[[Thomas Stuart (Earth-616)|Thomas Stuart (Stiletto)]] (brother); [[Tyler Stuart (Earth-616)|Tyler Stuart]] (father)
1445	Leonard	[[Leonard Skivorski (Earth-616)|Leonard Skivorski]] (father);Mrs. Skivorski (mother);[[Ricky Myers (Earth-616)|Ricky Myers]] (son, deceased)
1446	Lester	Mrs. Verde (mother);
1448	Victor	[[Werner von Doom (Earth-616)|Werner von Doom]] (father, deceased);
1450	Anthony	[[Amergin (Earth-616)|Amergin]] (10th century ancestor, deceased);[[Sebastian Druid (Earth-616)|Sebastian Druid]] (son)
1451	Johann	[[Sebastian Fenhoff (Earth-616)|Dr. Sebastian Fenhoff]] (father);[[Anna Fennhoff (Earth-616)|Anna Fennhoff]] (mother)
1457	Doctor	unnamed son, deceased{{r|Tomb of Dracula #21}}
1458	Domina	[[Jaeger (Earth-616)|Jaeger]] (Husband, deceased), Unnamed daughter (Deceased), [[Ransome Sole]] (Brother) 
1459	Duvid	[[Jerry Fortunov (Earth-616)|Jerry]] (son, deceased);wife (deceased), daughter-in-law, grandson, granddaughter
1463	Dorma	Wa-Korr (grandfather, presumed deceased);
1464	Dormammu	[[Sinifer (Earth-616)|Sinifer]] (genitor, deceased); 
1465	Doop	[[Mama Doop (Earth-616)|Mama Doop]]{{r|All-New Doop #3}}
1471	Vlad	[[Vlad Tepes (Earth-616)|Vlad Dracul (Vlad the Elder]], father, deceased), 
1473	Tako	[[Phyllis Shamara (Earth-616)|Phyllis]] (wife);[[Mary Shamara (Earth-616)|Mary]] (daughter);
1475	Dragon	[[Gregson Gilbert (Earth-616)|Professor Gilbert]] (creator)
1476	Dragon	[[Set (Earth-616)|Set]] (father)
1477	Dragona	unnamed grandmother; unnamed mother; [[Ereshkigal (Deviant) (Earth-616)|Ereshkigal]] (sister)
1479	Frank	[[Vlad Dracula (Earth-616)|Dracula]], Vlad Tepulus (ancestors), [[Marlene McKenna (Earth-616)|Marlene McKenna-Drake]] (wife), Jeanie (fiance, deceased)
1480	Bram	 
1484	Dreamqueen	[[Nightmare (Earth-616)|Nightmare]] (father);
1485	Druig	[[Valkin (Earth-616)|Valkin]] (father);[[Virako (Earth-616)|Virako]] (uncle);[[Ikaris (Earth-616)|Ikaris]] (cousin)
1487	Timothy	[[Mary Dugan (Earth-616)|Mary Dugan]] (wife, deceased);
1488	Sooraya	[[Mirah Qadir (Earth-616)|Mirah Qadir]] (mother);
1489	Dweller-in-Darkness	[[Cthulhu (Earth-616)|Cthulhu]] (alleged sire);{{r|Official Handbook of the Marvel Universe Vol 4 10|; Dweller-in-Darkness' entry's [https://marvel.com/universe/OHOTMU:Data_Corrections_Horror_2005#Dweller-in-Darkness corrections]}}[[D'Spayre (Earth-616)|D'Spayre]] (creation);
1491	Kyle	[[Marge Brock (Earth-616)|Marge Brock]] (wife), unnamed children
1495	Edith	[[Quincy Harker (Earth-616)|Quincy Harker]] (father, deceased),  [[Elizabeth Harker (Earth-616)|Elizabeth Harker]] (mother, deceased), [[Jonathan Harker (Earth-616)|Jonathan Harker]] (grandfather, deceased), [[Wilhelmina Murray (Earth-616)|Wilhelmina "Mina" Harker]] (grandmother, deceased) 
1496	Edwin	[[Mrs. Jarvis (Earth-616)|Mrs. Jarvis]] (mother)
1499	Elihas	[[Patricia Starr (Earth-616)|Patricia "Trish" Starr]] (niece)
1500	Ego	[[Stranger (Cosmic Being) (Earth-616)|Stranger]] (creator),[[Alter Ego (Earth-616)|Alter Ego]] ("brother"),[[Illa (Earth-616)|Illa]] ("daughter"),[[Id (Selfish Moon) (Earth-616)|Id, the Selfish Moon]] (possible "relative", destroyed),[[Super-Ego (Earth-616)|Super Ego]] (possible relative)
