<id>	<title>
340416	Merro (Earth-616)
340417	Llyron (Earth-616)
340444	Azzuri (Earth-616)
340559	Sally (Earth-616)
340560	Jocko (Earth-616)
340562	Reno (Earth-616)
340599	Matthew Plunder (Earth-616)
340622	Namorita Prentiss (Earth-534834)
340672	Blastfurnace (Earth-616)
340945	Thor Odinson (Earth-82803)
341235	Alma Chalmers (Earth-616)
341320	John Blaze (Earth-1610)
341458	Aaron Downing (Earth-616)
341460	Ben Huth (Earth-616)
341462	Ellis Love (Earth-616)
341464	Ahmed Noor (Earth-616)
341467	Cornell Gray (Earth-616)
341469	Lauren Wolfe (Earth-616)
341471	Robert Gomorra (Earth-616)
341846	Tadzio de Santis (Earth-697064)
341850	Valentina de Santis (Earth-697064)
341854	Reed Richards (Earth-94000)
341868	James-Michael Starling (Earth-9997)
341870	Franklin Nelson (Earth-9997)
341872	Gabriel Jones (Earth-9997)
341873	Joseph Rogers (Earth-9997)
341874	Sarah Rogers (Earth-9997)
341875	Matthew Rogers (Earth-9997)
341876	Tank (Earth-9997)
341884	Melvin Potter (Earth-9997)
341889	Heather Douglas (Earth-9997)
341890	Stephen Beckley (Earth-9997)
341891	Jack Monroe (Earth-9997)
341896	Hyperion (Squadron Sinister) (Earth-9997)
341901	Zarda Shelton (Earth-1121)
341907	Filius Omen (Earth-616)
341937	Benjamin Russell (Earth-616)
342027	Michael Trace (Earth-200111)
342198	Dimitri Fortunov (Earth-616)
342200	Colin Muldowney (Earth-616)
342201	Theresa Petty (Earth-616)
342233	Vladimir Fortunov (Earth-616)
342238	Finn Cooley (Earth-200111)
342241	Maginty (Earth-200111)
342253	Brün (Earth-616)
342258	Kára (Earth-616)
342319	William Taurey (Earth-616)
342355	Carelius (Earth-6311)
342542	Loki Laufeyson (Earth-94001)
342559	Xarus (Earth-616)
342566	Alyssa (Earth-616)
342568	Kaga (Earth-616)
342592	Farbauti (Earth-94001)
342594	Thor Odinson (Earth-94001)
342687	Zebediah Stane (Earth-616)
342737	Bloodwing (Earth-616)
342749	Tabitha Smith (Earth-161)
342754	Cable (Earth-161)
342762	Neena Thurman (Earth-161)
342813	Mesmero (Vincent) (Earth-21993)
342819	Mesmero (Skrull) (Earth-616)
342840	Mesmero (Vincent) (Earth-127)
342849	Bando Saburo (Earth-616)
342856	Woodward Himes (Earth-616)
342868	Fredd (Earth-1556)
342889	John Jonah Jameson (Earth-161)
342905	Roger Gocking (Earth-616)
342916	Tartaro (Earth-616)
342920	Manoli Wetherell (Earth-161)
342924	Master of the Hunt (Earth-93060)
342929	James Madrox (Earth-161)
342948	Pinnacle (Earth-93060)
342957	Joseph Robertson (Earth-161)
342962	Jeffrey Winstone (Earth-616)
342965	Mesmero (Vincent) (Earth-5700)
342971	Mesmero (Earth-10724)
343063	Castlemere (Earth-616)
343064	Mercedes (Hellfire Club) (Earth-616)
343118	Turner (Earth-616)
343126	Gaveedra Seven (Earth-161)
343129	Peter Parker (Earth-161)
343133	Guido Carosella (Earth-161)
343142	Temblor (Earth-93060)
343148	Veeda Leebre (Earth-616)
343160	James Proudstar (Earth-161)
343208	Yorkie Mitchell (Earth-616)
343534	Dimitriy Rasputin (Earth-616)
343536	Konstantin Rasputin (Earth-616)
343537	Klara Rasputina (Earth-616)
343588	Milos Masaryk (Earth-689)
343590	William Baker (Earth-689)
343625	Richard Barnes (Heroes Reborn) (Earth-616)
343626	Margaret Carter (Heroes Reborn) (Earth-616)
343627	John Barnes (Heroes Reborn) (Earth-616)
343971	Susan Banner (Earth-616)
343972	Elaine Banner (Earth-616)
344051	Genard Alouette (Earth-616)
344174	Leo Zelinsky (Earth-616)
344176	Scott Summers (Earth-96190)
344264	James Howlett (Heroes Reborn) (Earth-616)
344275	Orora Munroe (Earth-61029)
344280	Tanjaar (Earth-616)
344284	Susan Storm (Earth-135263)
344297	Ororo Munroe (Earth-61029)
344299	Forge (Earth-61029)
344300	Naze Munroe (Earth-61029)
344318	Sentinel X (Earth-616)
344598	Neena Thurman (Earth-92131)
344698	Fang (WWII) (Earth-616)
344701	Planner (Criminal) (Earth-616)
344740	Michael Twoyoungmen (Earth-92131)
344745	Eugene Judd (Earth-92131)
344747	Narya (Earth-92131)
344750	Jeanne-Marie Beaubier (Earth-92131)
344755	Walter Langkowski (Earth-92131)
344758	General Chasen (Earth-92131)
344913	Armand Vitrioli (Earth-616)
344918	Martha Johansson (Earth-15104)
345121	Mason Harding (Earth-616)
345136	Cheer Chadwick (Earth-616)
345211	Broken Blade (Earth-616)
345276	Alternate (Earth-93060)
345292	Borgia Omega (Earth-616)
345317	Davenport (Earth-93060)
345321	Death Dance (Earth-93060)
345334	Troy Wilde (Earth-93060)
345336	Glitch (Earth-616)
345348	Arkady Rossovich (Earth-8096)
345357	Ellen (Earth-93060)
345442	Torunn Thorsdóttir (Earth-555326)
345448	Azari (Earth-555326)
345450	Henry Pym, Jr. (Earth-555326)
345481	Galactus (Earth-10011)
345528	Bernard Harris (Earth-616)
345530	Umbra (Earth-616)
345569	S'Yan (Earth-616)
345605	MjNari (Earth-92131)
345614	T'Shan (Earth-616)
345630	Kurt Wagner (Earth-10011)
345638	M'Koni (Earth-616)
345678	Lady Elizabeth Braddock (Earth-616)
345713	Billy Wheeler (Earth-616)
345715	Mr. Wheeler (Earth-616)
345733	Bashenga (Earth-616)
345746	Vurk (Earth-93060)
345853	Charles Xavier (Earth-10011)
345926	Gloria Brickman (Earth-616)
346009	Rrcrrk (Earth-93060)
346018	Aera (Earth-93060)
346048	Ororo Munroe (Earth-10011)
346057	Lela Cho (Earth-93060)
346062	Man-Fish (Earth-616)
346091	Michael Whitecloud (Earth-616)
346103	Mark Hallett (Earth-11052)
346132	Scott Summers (Earth-10011)
346136	James Howlett (Earth-10011)
346148	Frank Castle (Earth-982)
346150	Michael Marko (Earth-982)
346194	Chanda (Earth-616)
346195	Nanali (Earth-616)
346228	Charles Grey (Earth-616)
346231	Phineous Umbridge (Earth-616)
346256	William Allen (Earth-616)
346362	Veda (Corporation) (Earth-616)
346444	Gunna Sijurvald (Earth-616)
346452	Jaagur (Earth-616)
346460	Solon Stabilizer (Earth-616)
346489	Mari Logan (Earth-1298)
346490	Brian Logan (Earth-1298)
346492	Mariko Yashida (Earth-1298)
346515	Malkin Grey (Earth-616)
346516	Eleanor Grey (Earth-616)
346579	Brian O'Brien (Earth-1136)
346625	Theo Bomba (Earth-616)
346627	Tayln Roark (Earth-616)
346630	Ozzie Tanaka (Earth-616)
346677	Damos (Earth-616)
346679	Myrrhot (Earth-616)
346687	Esther Lucas (Earth-616)
346693	James Lucas (Earth-616)
346751	Amora (Earth-1610)
346786	Khufor (Earth-616)
346855	Graydon Creed, Jr. (Earth-92131)
346861	Thor Odinson (Heroes Reborn) (Earth-616)
346935	Anakalak (Earth-616)
346944	Yao (Earth-83840)
346947	Sickle Moon (Earth-200111)
346957	Yao (Earth-9140)
346958	Wilbur Garvin (Earth-8410)
346959	Charles Anderson (Earth-616)
346983	Jonathan Storm (Earth-721)
346994	Susan Storm (Earth-721)
347126	Agatha Harkness (Heroes Reborn) (Earth-616)
347131	Patricia Walker (Heroes Reborn) (Earth-616)
347132	Eric Williams (Heroes Reborn) (Earth-616)
347133	Batt Burdock (Earth-8311)
347134	Nathaniel Richards (Heroes Reborn) (Earth-616)
347135	DeGrayde (Earth-616)
347136	Mantis (Heroes Reborn) (Earth-616)
347145	Hlökk (Earth-616)
347148	Göndul (Earth-616)
347151	Simon Williams (Heroes Reborn) (Earth-616)
347153	Skurge (Heroes Reborn) (Earth-616)
347155	Andrea Janson (Earth-616)
347156	Ultron (Heroes Reborn) (Earth-616)
347157	Andrew Meadows (Earth-148611)
347161	Daryl Andrews (Earth-616)
347165	Andromeda Attumasen (Earth-9151)
347166	Wilson Fisk (Earth-200111)
347170	Vanessa Marianna (Earth-200111)
347171	Richard Fisk (Earth-200111)
347173	Shelton Pendergrass (Earth-200111)
347194	Arnold Kaminsky (Earth-616)
347207	Louise Spalding (Earth-616)
347236	Ulysses Klaw (Heroes Reborn) (Earth-616)
347246	Glakandar (Earth-616)
347248	Glakandar (Earth-691)
347262	Ree (Earth-616)
347269	Ree (Earth-691)
347363	Anelle (Earth-804)
347607	Boris Bullski (Heroes Reborn) (Earth-616)
347748	Anton Vanko (Heroes Reborn) (Earth-616)
347763	Anemone (Earth-691)
347765	Laurie Tromette (Earth-616)
347772	Warren Worthington III (Earth-905)
347775	Warren Worthington III (Earth-913)
347776	Warren Worthington III (Earth-956)
347786	Jamila St. Croix (Earth-616)
347789	Warren Worthington III (Earth-811)
347800	Warren Worthington III (Earth-904)
347801	Warren Worthington III (Earth-982)
347802	Luz (Earth-616)
347804	Warren Worthington III (Earth-8312)
347809	Jimaine Szardos (Earth-811)
347810	Warren Worthington III (Earth-9112)
348140	Warren Worthington III (Earth-9922)
348141	Warren Worthington III (Earth-11947)
348142	Warren Worthington III (Earth-89721)
348147	Warren Worthington III (Earth-105709)
348151	Warren Worthington III (Earth-90110)
348233	Theresa Cassidy (Earth-TRN165)
348235	Vanessa Carlysle (Earth-TRN165)
348240	Wade Wilson (Earth-TRN165)
348244	Samuel Guthrie (Earth-8280)
348245	Roberto da Costa (Earth-8280)
348246	Rahne Sinclair (Earth-8280)
348248	Xi'an Coy Manh (Earth-8280)
348249	Warlock (Earth-8280)
348251	Illyana Rasputina (Earth-8280)
348275	Theresa Cassidy (Earth-10003)
348362	Niles Roman (Earth-616)
348526	Ned Hardy (Earth-616)
348527	Malcolm Hardy (Earth-616)
348529	Jennifer Hardy (Earth-616)
348530	Nell Hardy (Earth-616)
348531	Lisa Hardy (Earth-616)
348532	Arthur Hardy (Earth-616)
348573	Gregory Dunbar (Earth-616)
348578	Warren Worthington III (Earth-90816)
348582	Warren Worthington III (Earth-94040)
348584	Warren Worthington III (Earth-94041)
348587	Warren Worthington III (Earth-94042)
348591	Warren Worthington III (Earth-95371)
348705	Leon Matheson (Earth-616)
348741	Leonard Samson (Heroes Reborn) (Earth-616)
348742	Jennifer Walters (Heroes Reborn) (Earth-616)
348952	Henry Gyrich (Heroes Reborn) (Earth-616)
348988	Donald Blake (Heroes Reborn) (Earth-616)
349091	Jorge Valdez (Earth-616)
349116	Ororo Munroe (Earth-1020)
349117	Nathan Summers (Earth-1020)
349174	Blue Skye (Heroes Reborn) (Earth-616)
349176	Parson (Heroes Reborn) (Earth-616)
349177	Michka Rose (Heroes Reborn) (Earth-616)
349179	General Darlegung (Heroes Reborn) (Earth-616)
349325	American Samurai (Earth-616)
349356	Quintavius Quire (Earth-15104)
349426	Gordon Keefer (Earth-105709)
349430	Anders Nobel (Earth-616)
349431	Andre Mexer (Earth-616)
349432	Alicia Downing (Earth-616)
349491	Faith Shabazz (Earth-616)
349492	Rebbecca Kaplan (Earth-616)
349493	Jeff Kaplan (Earth-616)
349495	Peggy Rae (Earth-616)
349496	Blake Burdick (Earth-616)
349560	Ahmyor (Earth-295)
349562	Annihilus (Earth-772)
349566	Isaac Newton (Earth-616)
349580	Abu Mūsā Jābir ibn Hayyān al-Azdi (Earth-616)
349605	Leonid (Earth-616)
349689	Anson Harkov (Earth-616)
349705	Henry Pym (Earth-929)
349708	Henry Pym (Earth-4080)
349722	Henry Pym (Earth-8910)
349734	Henry Pym (Earth-11947)
349752	Scott Lang (Earth-89120)
349977	Randall O'Brien (Earth-148611)
349980	Anton Bigelow (Earth-616)
349981	Anton Devine (Earth-616)
349983	Antoro (Earth-616)
350022	Fantomask (Earth-616)
350100	Mrs. Altman (Earth-616)
350110	Ternak (Earth-616)
350161	Raymond Connor (Earth-1610)
350244	John Kesler (Earth-616)
350248	Greg Norris (Earth-616)
350260	Susan Bishop (Earth-616)
350267	Derek Bishop (Earth-616)
350276	Kathryn O'Brien (Earth-200111)
350277	William Rawlins (Earth-200111)
350278	Yorkie Mitchell (Earth-200111)
350316	Nicolas Cavella (Earth-200111)
350317	Donald Jones (Earth-616)
350319	Mick Bird (Earth-616)
350323	Ape (Earth-92131)
350332	Cube Warden (Earth-616)
350391	Hank Kipple (Earth-1610)
350398	Joanna Cargill (Earth-905)
350407	Gunther Bain (Earth-905)
350410	Wanda Maximoff (Earth-905)
350413	Frederick Dukes (Earth-905)
350416	Pietro Maximoff (Earth-905)
350434	Aloysius Thorndrake (Earth-616)
350438	T'Challa (Earth-10011)
350445	Cain Marko (Earth-10724)
350452	Caliban (Earth-161)
350456	Callisto (Earth-161)
350467	Matthew Murdock (Earth-10011)
350471	Arthur Douglas (Earth-10011)
350567	Thor Odinson (Earth-10091)
350578	Jane Foster (Earth-10091)
350585	Chameleon (Earth-1610)
350588	James North (Earth-10091)
350594	Samuel Wilson (Earth-10011)
350604	Johnathon Blaze (Earth-10011)
350613	Calvin Zabo (Earth-10091)
350618	Clinton Barton (Earth-10011)
350622	Healer (Earth-161)
350636	Hercules (Earth-10011)
350652	Desmond Tucker (Earth-10091)
350704	En Sabah Nur (Earth-10197)
350705	En Sabah Nur (Earth-32098)
350706	En Sabah Nur (Earth-41001)
350707	En Sabah Nur (Earth-95169)
350708	Madame Joy (Earth-616)
350722	Warren Worthington III (Earth-10197)
350775	Maria Proudstar (Earth-616)
350776	Neal Proudstar (Earth-616)
350818	Scheduler (Mojoverse)
350824	Lynne Huntington (Earth-616)
351158	Integral Synaptic Anti-Anionic Computer (Earth-10011)
351171	J'Nel (Earth-829)
351211	Jocasta (Earth-10011)
351215	K'Tel (Earth-829)
351308	War (Earth-295)
351309	Death (Horsemen of Apocalypse) (Earth-295)
351458	Herman Schultz (Earth-96283)
351516	Orb (Mercenary) (Earth-616)
351565	Gabriel Cohuelo (Earth-616)
351736	Janice Lincoln (Earth-616)
351739	Clegg (Earth-295)
351740	Slocum (Earth-295)
351741	Dead Eye (Earth-295)
351742	Vultura (Earth-295)
351748	Carolyn Trainer (Earth-982)
351861	Charles Ulysses (Earth-616)
351924	Mennonite (Earth-200111)
352087	Adam Spectre (Earth-4935)
352088	Lark (Earth-4935)
352109	Leri (Earth-829)
352124	X-51 (Earth-10011)
352241	Masque (Earth-161)
352245	Carol Danvers (Earth-92131)
352246	Reed Richards (Earth-10011)
352366	Apollyon (Earth-15104)
352367	Apox (Earth-982)
352368	Aqualung (Earth-148611)
352369	Wundarr (Earth-9151)
352370	Aquon (Microverse) (Earth-616)
352388	Heather Douglas (Earth-10011)
352397	Notch (Earth-93060)
352462	Tar Baby (Earth-92131)
352482	Erg (Earth-92131)
352499	Lorna Dane (Earth-10011)
352503	Richard Jones (Earth-10011)
352508	Victor Creed (Clone) (Earth-161)
352515	John Greycrow (Earth-161)
352519	Scarshriek (Earth-161)
352536	Peter Parker (Earth-1123)
352642	Richard Rider (Earth-20051)
352652	Natalia Romanova (Earth-20051)
352657	Namor McKenzie (Earth-1123)
352659	Susan Storm (Earth-1123)
352660	Herbert Wyndham (Earth-9997)
352664	Nicholas Fury (Earth-20051)
352671	Arachnid (Earth-238)
352673	Aracht'yr (Earth-616)
352677	Araki (Earth-913)
352678	Araki (Earth-8649)
352679	Araki (Earth-9112)
352704	Norrin Radd (Earth-10011)
352708	Peter Parker (Earth-10011)
352717	Glow Worm (Earth-92131)
352723	Plague (Earth-92131)
352738	Masque (Earth-92131)
352761	Jane Framan (Earth-616)
352792	Bambina Arbogast (Earth-89120)
352793	Arcade (Earth-9112)
352795	Arkadine Arcadius (Earth-616)
352798	Antoinelle Arceneaux (Earth-616)
352803	Phoenix Force (Earth-9112)
352804	Shiro Yoshida (Earth-1610)
352806	Danielle Moonstar (Earth-1610)
352809	Charles Xavier (Earth-21993)
352813	Aurora (Earth-1610)
352816	Alexander Summers (Earth-21993)
352818	Scott Summers (Earth-21993)
352820	Nathan Summers (Earth-21993)
352823	Rachel Summers (Earth-21993)
352824	Jean Grey (Earth-21993)
352825	Ororo Munroe (Earth-21993)
352838	Robert Drake (Earth-21993)
352845	James Howlett (Earth-21993)
352879	Kurt Wagner (Earth-913)
352885	Phoenix Force (Earth-913)
352894	Jonathan Dozer (Earth-7481)
352896	Andrew Booth (Earth-616)
352942	Piotr Rasputin (Earth-21993)
352944	Sean Cassidy (Earth-21993)
352946	Alison Blaire (Earth-21993)
352949	Elizabeth Braddock (Earth-21993)
352951	Remy LeBeau (Earth-21993)
352955	Jubilation Lee (Earth-21993)
352958	Lorna Dane (Earth-21993)
352961	Warren Worthington III (Earth-21993)
352964	Henry McCoy (Earth-21993)
352966	Samuel Guthrie (Earth-21993)
352968	Tabitha Smith (Earth-21993)
352970	Julio Richter (Earth-21993)
352978	Warlock (Earth-21993)
352980	Roberto da Costa (Earth-21993)
352982	Phillip Hayes (Earth-616)
352987	Rahne Sinclair (Earth-21993)
352996	Steven Rogers (Earth-21993)
352998	Wendell Vaughn (Earth-21993)
353007	Thor Odinson (Earth-21993)
353010	Wanda Maximoff (Earth-21993)
353014	Sersi (Earth-21993)
353016	Anthony Stark (Earth-21993)
353019	Clinton Barton (Earth-21993)
353024	Simon Williams (Earth-21993)
353026	John Walker (Earth-21993)
353029	Natalia Romanova (Earth-21993)
353034	En Sabah Nur (Earth-21993)
353037	Andreas von Strucker (Earth-21993)
353038	Andrea von Strucker (Earth-21993)
353047	Amphibius (Earth-21993)
353050	Brainchild (Earth-21993)
353052	Barbarus (Earth-21993)
353054	Gaza (Earth-21993)
353056	Worm (Savage Land Mutate) (Earth-21993)
353065	Franklin Richards (Earth-21993)
353067	Reed Richards (Earth-21993)
353070	Benjamin Grimm (Earth-21993)
353074	Jonathan Storm (Earth-21993)
353077	Susan Storm (Earth-21993)
353079	Sharon Ventura (Earth-21993)
353133	Stryfe (Earth-21993)
353135	Tamara Kurtz (Earth-21993)
353137	Michael McCain (Earth-21993)
353139	Pantu Hurageb (Earth-21993)
353141	Juliana Worthing (Earth-21993)
353144	Jun Tenta (Earth-21993)
353146	Heather Tucker (Earth-21993)
353148	Kristina Anderson (Earth-21993)
353152	Richard Gill (Earth-21993)
353154	Ambient-Energy Dampening Actualization Module Unit Zero (Earth-21993)
353156	Haruo Tsuburaya (Earth-21993)
353168	Dwayne Taylor (Earth-21993)
353170	Angelica Jones (Earth-21993)
353174	Namorita Prentiss (Earth-21993)
353177	Richard Rider (Earth-21993)
353178	Maria Callasantos (Earth-92131)
353180	Matthew Murdock (Earth-21993)
353184	Peter Parker (Earth-21993)
353213	Tusk (Earth-21993)
353215	Barrage (Earth-21993)
353219	Frederick Dukes (Earth-21993)
353221	Dominikos Petrakis (Earth-21993)
353223	Rita Wayword (Earth-21993)
353290	Kurt Wagner (Earth-21993)
353291	Katherine Pryde (Earth-21993)
353293	Forge (Earth-21993)
353300	Mark Hallett (Earth-21993)
353303	Gideon (Earth-21993)
353304	Garbha-Hsien (Earth-21993)
353305	Nicodemus (Earth-21993)
353309	Sebastian Shaw (Earth-21993)
353311	Sage (Earth-21993)
353318	Nathaniel Essex (Earth-21993)
353320	Michael Suggs (Earth-21993)
353322	Christopher Anderson (Earth-21993)
353325	George Blair (Earth-21993)
353327	Clement Wilson (Earth-21993)
353329	Neena Thurman (Earth-21993)
353331	Theresa Cassidy (Earth-21993)
353334	Max Eisenhardt (Earth-21993)
353336	Thomas Cassidy (Earth-21993)
353340	Bandera (Earth-21993)
353347	Bruce Banner (Earth-21993)
353349	Eugene Judd (Earth-21993)
353351	Heather McNeil (Earth-21993)
353353	Michael Twoyoungmen (Earth-21993)
353355	James Madrox (Earth-21993)
353359	Lupo (Earth-21993)
353370	Moira Kinross (Earth-21993)
353372	Pietro Maximoff (Earth-21993)
353381	Caliban (Earth-92131)
353387	Master Mold (Earth-92131)
353400	Cameron Hodge (Earth-92131)
353406	John Proudstar (Earth-92131)
353740	Julio Richter (Earth-92131)
353765	Abraham Kieros (Earth-92131)
353766	Autumn Rolfson (Earth-92131)
354570	Cissie Guthrie (Earth-616)
354947	Thomas Guthrie (Earth-41001)
355043	Nina Guthrie (Earth-41001)
355075	Danielle Guthrie (Earth-41001)
357987	Nikolai Zakharov (Earth-200111)
359505	Wolverine (Logan) (Earth-31393)
361628	Felicia Hardy (Earth-901220)
362723	Warren Worthington III (Earth-928)
362917	Warren Worthington III (Earth-9684)
362982	Warren Worthington III (Earth-89112)
363044	Warren Worthington III (Earth-95169)
363391	Mary McGrill (Earth-616)
363409	Julie Power (Earth-295)
363474	Julie Power (Earth-22455)
363677	Jack Power (Earth-295)
364052	Nimrod (Earth-31393)
364649	Mangle (Earth-295)
366114	Dennis Cuzinski (Earth-148611)
366121	George Mullaney (Earth-148611)
366123	Lenore Fenzl (Earth-148611)
367171	Christopher Anderson (Earth-92131)
367505	Mole (Earth-92131)
370478	William Maximoff (Earth-616)
370511	Thomas Maximoff (Earth-616)
371202	Philip Nolan Voigt (Earth-148611)
380851	David Banner (Earth-400005)
381141	George Blair (Earth-92131)
381214	Michael Suggs (Earth-92131)
382613	Dennis Sykes (Earth-616)
386288	Artemis (Earth-295)
386291	Orville Nugent (Earth-616)
386344	Roughouse (Earth-92131)
386489	Superior (Bastards of Evil) (Earth-616)
386546	Shard Bishop (Earth-121893)
386602	Bloodscream (Earth-92131)
386606	Shani (Earth-92131)
386616	Steven Rogers (Earth-92131)
386650	Zebadiah Creed (Earth-616)
386686	Steven Rogers (Earth-730784)
386697	Philippa Sontag (Earth-10197)
386710	Diego Ardilles (Earth-616)
386721	Arellio (Earth-804)
386792	Giles Peacock (Earth-616)
386848	Abbey Sykes (Earth-616)
386872	Philippa Sontag (Earth-161)
386880	Blastaar (Earth-295)
386888	Ares (Earth-10208)
386902	Arges (Earth-616)
386909	Henry McCoy (Earth-5113)
386915	Argon (Microverse) (Earth-616)
386923	Dane Whitman (Earth-5113)
386927	Michael Baer (Earth-161)
386931	Robert Drake (Earth-10724)
386936	Bruce Banner (Earth-5113)
386944	Argyle Fist (Earth-616)
386946	Ariane (Galadorian) (Earth-616)
386955	Ariann Wright (Earth-616)
386957	Anthony Stark (Earth-534834)
386960	Ariel (Zephyrean) (Earth-616)
386985	Anthony Stark (Earth-730784)
387135	Arimanes (Earth-616)
387136	Herlequin (Earth-616)
387137	Arishem (Earth-89721)
387140	Paul Aristides (Earth-616)
387146	Arjai-Ush (Earth-616)
387151	Glib Arkanian (Earth-616)
387176	Kenji Oyama (Earth-92131)
387184	Heather McNeil (Earth-92131)
387313	Arkon (Earth-913)
387314	Len Arkwright (Earth-616)
387445	Leonard McKenzie II (Earth-772)
387456	X-Ternal (Earth-92131)
387465	Heimdall (Earth-6109)
387468	Pierre (Earth-92131)
387472	Greer Grant (Earth-730784)
387476	Robert LeBeau (Earth-92131)
387505	Barbarus (Earth-92131)
387510	Franklin Richards (Earth-772)
387560	Crystalia Amaquelin (Earth-772)
387564	Richard Jones (Earth-774)
387566	Elizabeth Ross (Earth-774)
387575	Thaddeus Ross (Earth-774)
387576	Moon Knight (Earth-928)
387588	Stick (Earth-1610)
387809	Sharon Davies (Earth-5556)
387810	Matthew Murdock (Earth-928)
387811	Brian Braddock (Earth-928)
387812	Piotr Rasputin (Earth-928)
387813	Hercules (Earth-928)
387815	Yondu Udonta (Earth-928)
387816	Kurt Wagner (Earth-928)
387817	Namor McKenzie (Earth-928)
387818	Luke Cage (Earth-928)
387819	Uatu (Earth-928)
387820	Ikaris (Earth-928)
387821	Detlef Metzger (Earth-616)
387834	Kenji Uedo (Earth-616)
387838	Gamesmaster (Earth-92131)
387847	Susan Storm (Earth-774)
387849	Nicholas Fury (Earth-92131)
387851	Hope (Earth-13393)
387855	Dawnsilk (Earth-13393)
387862	Boak (Earth-13393)
387865	Simian Torch (Android) (Earth-8101)
387917	Nimrod Strange (Earth-616)
387928	Garrison Kane (Earth-13393)
387988	Stephen Strange (Earth-928)
387993	Blackagar Boltagon (Earth-928)
387995	Ord Zyonyz (Earth-928)
387996	Taneleer Tivan (Earth-928)
388011	Stranger (Earth-928)
388014	Mephisto (Earth-928)
388017	Grasshopper (Unnamed) (Earth-616)
388042	Jason Wyngarde (Earth-11052)
388080	Odin Borson (Earth-94001)
388084	Sif (Earth-94001)
388087	Balder Odinson (Earth-94001)
388092	Daia (Earth-94001)
388110	Ethan Shields (Earth-928)
388112	Anthony Stark (Earth-90214)
388125	Tyler (Earth-13393)
388170	Angel Salvadore (Earth-4321)
388198	Hawk (Earth-691)
388201	Dog (Earth-90214)
388203	Mariko Yashida (Earth-90214)
388205	Giuletta Nefaria (Earth-90214)
388207	Wolfgang von Strucker (Earth-90214)
388210	Howard Stark (Earth-90214)
388212	Victor Creed (Earth-90214)
388213	Virginia Potts (Earth-90214)
388215	James Rhodes (Earth-90214)
388220	Edwin Jarvis (Earth-90214)
388230	Namor McKenzie (Earth-90214)
388245	Jean De Wolfe (Earth-90214)
388247	Victor Alvarez (Earth-616)
388249	Janet van Dyne (Earth-10011)
388408	Cary Armstrong (Earth-616)
388409	Michael Armstrong (Earth-616)
388413	Jill Hepburn (Earth-616)
388454	Lord Churchill (Earth-616)
388455	Lady Vermin (Earth-616)
388504	Lonnie Lincoln (Earth-90214)
388515	Peter Magnus (Earth-90214)
388518	Daisy Banticoff (Earth-90214)
388520	Randall Banticoff (Earth-90214)
388522	Willis Stryker (Earth-90214)
388524	Luke Cage, Jr. (Earth-90214)
388526	Luke Cage (Earth-90214)
388546	Calvin Rankin (Earth-90214)
388562	Aroke (Earth-616)
388563	Aroma (Earth-8311)
388581	Oswald Silkworth (Earth-73595)
388583	Oswald Silkworth (Earth-90200)
388598	Master Sniper (Earth-616)
388608	Lupinar (Earth-616)
388609	Cody Robbins (Earth-92131)
388628	Sandahl Swarn (Earth-616)
388664	Doctor Noc (Earth-616)
388686	Thor (Earth-90214)
388690	Enid Richards (Earth-1610)
388742	Arthur Benway (Earth-148611)
388796	Alan Bolson (Earth-92131)
388800	Amphibius (Earth-92131)
388815	Carly Crocker (Earth-92131)
388962	Harrison Thompson (Earth-26496)
388963	Jesse Thompson (Earth-26496)
388964	Rosie Thompson (Earth-26496)
388994	Arthur Perry (Earth-616)
389000	Arthur Shaman (Earth-616)
389007	Arthur Vale (Earth-616)
389009	Artys-Gran (Earth-616)
389040	Joseph Lorenzini (Earth-TRN581)
389041	Roderick Kingsley (Clone) (Earth-TRN579)
389042	Serena Patel (Earth-TRN579)
389058	Harlan Hackbarth (Earth-148611)
389073	George Stacy (Earth-26496)
389114	Scott Lang (Earth-4321)
389119	Warren Worthington III (Earth-4321)
389128	Idie Okonkwo (Earth-616)
389134	Henry McCoy (Earth-4321)
389138	Lucas Bishop (Earth-4321)
389142	Dane Whitman (Earth-4321)
389146	T'Challa (Earth-4321)
389150	Caldon Spincor (Earth-829)
389154	Steven Rogers (Earth-829)
389158	Steven Rogers (Earth-4321)
389162	Steven Rogers (Earth-5113)
389168	Arvak (Earth-616)
389169	Aryan (Earth-616)
389179	Crimson Ash (Earth-616)
389180	Volcana Ash (Earth-691)
389188	Genis-Vell (Earth-4321)
389192	Jonothon Starsmore (Earth-4321)
389205	Camellia (Earth-1610)
389236	Sleek (Earth-9200)
389237	Agarn (Earth-9200)
389238	Po (Earth-9200)
389239	Mok (Earth-9200)
389240	Librito (Earth-9200)
389241	Betty-6 (Earth-9200)
389242	Cyberslik (Earth-9200)
389243	Unit (Earth-9200)
389322	Sig-Rass (Earth-616)
389332	Jentorra (Earth-616)
389375	Longshot (Earth-92131)
389378	Rita Wayword (Earth-92131)
389387	Shanna O'Hara (Earth-92131)
389402	General Combest (Earth-616)
389493	Kevin Plunder (Earth-92131)
389503	Zabu (Earth-92131)
389601	Ezra Asher (Earth-616)
389603	George Ashton (Earth-616)
389609	Asmodeus (Inhuman) (Earth-616)
389610	Ozzie Palmer (Earth-616)
389618	Asmodiar (Earth-616)
389625	Anaconda (Earth-1610)
389626	Asp (Earth-1610)
389634	Ast (Earth-794282)
